"Id";"Name";"URI"
"1";"Donnersberg";", http://afe.dainst.org:8080/AFE_RGK/show_findspot?id=3793 | , http://www.geonames.org/2936214/donnersberg.html | , https://gazetteer.dainst.org/place/2052314"
"2";"Erpernburg";", https://ikmk.smb.museum/object?id=18266190 | , http://www.geonames.org/2941570/bueren.html | , https://gazetteer.dainst.org/place/2051831"
"3";"Basel-St. Louis";", http://www.geonames.org/6957319/st-louis-grenze.html"
"4";"Bochum";", http://www.geonames.org/6553132/bochum.html | , https://gazetteer.dainst.org/place/2051197"
"5";"Manching";"Geonames, https://www.geonames.org/2873992/manching.html | , https://gazetteer.dainst.org/place/2047873"
"6";"Bad Zurzach";"Geonames, https://www.geonames.org/2657891/bad-zurzach.html | , https://gazetteer.dainst.org/place/2124851"
"7";"Baden (District Baden), Aargau";", http://www.geonames.org/2661646/baden.html | , https://gazetteer.dainst.org/place/2057821"
"8";"Brugg (District Brugg)";", https://gazetteer.dainst.org/place/2057825 | , http://www.geonames.org/2661374/brugg.html"
"9";"Windisch (District Brugg)";", http://www.geonames.org/7287589/windisch.html | , https://gazetteer.dainst.org/place/2103214"
"10";"Basel (Gasfabrik)";"Geonames, https://www.geonames.org/2661604/basel.html | , https://gazetteer.dainst.org/place/2057875"
"11";"Basel (Münsterhügel)";"Geonames, https://www.geonames.org/2661604/basel.html | , https://gazetteer.dainst.org/place/2057869"
"12";"Bern (Engehalbinsel)";"Geonames, https://www.geonames.org/2661552/bern.html | , https://gazetteer.dainst.org/place/2057935"
"13";"Biel (District Biel)";"Geonames, https://www.geonames.org/2661513/biel-bienne.html | , https://gazetteer.dainst.org/place/2057939"
"14";"Niederbipp (District Wangen)";"Geonames, https://www.geonames.org/2659470/niederbipp.html | , https://gazetteer.dainst.org/place/2057993"
"15";"Vallon (District de la Broye)";"Geonames, https://www.geonames.org/6941399/vallon.html | , https://gazetteer.dainst.org/place/2058109"
