"Id";"Type | Catalogue | Catalogue";"Type | Code";"Type | Mint | Mint";"Type | Denomination | Denomination";"Type | Key";"Collection | Name";"Collection | Surname";"Collection | Name";"Findspot | Name";"Archeological context"
"1";"Kellner, Manching";"Kellner RC II C stater";"Southern Germany";"Stater";"Rainbow Cup";"";"";"GDKE Speyer";"Donnersberg";"Single find | Oppidum"
"10";"Kellner, Manching";"Kellner RC I B stater";"Southern Germany";"Stater";"Rainbow cup";"";"";"Münzkabinett, Staatliche Museen zu Berlin";"Basel-St. Louis";"Hoard"
"24";"Kellner, Manching";"Kellner RC II D stater";"Southern Germany";"Stater";"Rainbow cup";"";"";"Münzkabinett, Staatliche Museen zu Berlin";"Erpernburg";"Single find"
"43";"Kellner, Manching";"Kellner RC V D quarter";"Southern Germany";"Quarter stater";"Rainbow cup";"";"";"Münzkabinett, Staatliche Museen zu Berlin";"Basel-St. Louis";"Hoard"
"50";"Kellner, Manching";"Kellner RC VII A stater";"Southern Germany";"Stater";"Rainbow cup";"";"";"Münzkabinett, Staatliche Museen zu Berlin";"Basel-St. Louis";"Hoard"
"63";"Kellner, Manching";"Kellner RC IX B stater";"Southern Germany";"Stater";"Rainbow cup";"";"";"Sammlungen Will und Gerlach";"Bochum";"Single find"
"132";"Nick, Altenburg";"Nick BS C 4";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Bad Zurzach";""
"132";"Kellner, Manching";"Kellner BS C";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Bad Zurzach";""
"132";"Ziegaus, Egglfing";"Ziegaus BS C 24";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Bad Zurzach";""
"132";"OCC";"BS 4";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Bad Zurzach";""
"133";"OCC";"BS 7";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Baden (District Baden), Aargau";""
"134";"Kellner, Manching";"Kellner BS C";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Brugg (District Brugg)";""
"134";"OCC";"BS 4";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Brugg (District Brugg)";""
"135";"Nick, Altenburg";"Nick BS F 2a";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"135";"OCC";"BS 7";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"136";"Nick, Altenburg";"Nick BS C 4";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"136";"Ziegaus, Egglfing";"Ziegaus BS C 24";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"136";"Kellner, Manching";"Kellner BS C";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"136";"OCC";"BS 4";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"137";"Nick, Altenburg";"Nick BS C 4";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"137";"Ziegaus, Egglfing";"Ziegaus BS C 24";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"137";"Kellner, Manching";"Kellner BS C";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"137";"OCC";"BS 4";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"138";"Nick, Altenburg";"Nick BS F 1a";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"138";"OCC";"BS 7";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"139";"Nick, Altenburg";"Nick BS C 1";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"139";"Kellner, Manching";"Kellner BS C";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"139";"Ziegaus, Egglfing";"Ziegaus BS C 20";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"139";"OCC";"BS 4";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"140";"Nick, Altenburg";"Nick BS D 2";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"140";"OCC";"BS 5";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"141";"Nick, Altenburg";"Nick BS F 2b";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"141";"OCC";"BS 7";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"142";"Nick, Altenburg";"Nick BS D 6";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
"142";"OCC";"BS 5";"Southern Germany";"Silver unit";"Bushel series";"";"";"Kantonsarchäologie Aargau, Brugg";"Windisch (District Brugg)";""
