denkmalnummern,hauptstruktur,periode,gemeinde,gemeinde_wkt,landkreis,regierungsbezirk,bibliographie,befund_e1,befund_e2,befunde_e3,lng_gk,lat_gk,lng_wgs84,lat_wgs84,DenkmalNummer,fender_typ,fender_zeitstellung,Höhe_SRTM1_puffer50m,Neigung_SRTM1_puffer50m,Hangausrichtung_SRTM1_puffer50m,Loess_1zu500k_puffer50m,Wasser_puffer50m,Umfeldanalyse_km2,Viewshed_km2,CorineCode,Reliefenergie,Frosttage_Jahr,Niederschlag_Jahr,Niederschlag_Sommer,Niederschlag_Frühling,Sonnenstunden_Jahr,Sonnenstunden_Frühling,Sonnenstunden_Sommer,Temperatur_Jahr,Temperatur_Sommer,Temperatur_Frühling
D-1-7836-0384,Siedlung,HA,Kirchheim b.München,POINT(11.75108 48.18218),München,Oberbayern,"FIS-Daten des BLfD, Christlein 1980d S. 86, Schefzik 2001 S. 397, Fender 2017",befestigte Siedlung (Herrenhof) | Siedlungskonzentration (Weiler/Dorf),Einfriedung | eingetiefte Struktur,Einfriedung (rechteckig) | Gebäude (Pfostenbau) | Rechteckbau (Großbau) | Palisade,4482506,5336923,11.763353558061766000,48.170070072370287000,D-1-7836-0384,Siedlung,Frühlatènezeit,"513,69","2,55","162,57","4950,90","2273,69","62,76","29,71",211,6,100,998,368,239,1735,508,665,"8,7","17,5","8,7"
D-2-7143-0015,Siedlung,HA,Deggendorf,POINT(12.97564 48.83732),Deggendorf,Niederbayern,"FIS-Daten des BLfD, Christlein–Hautmann 1980 S. 88, Fender 2017",befestigte Siedlung (Herrenhof) | Siedlungskonzentration (Weiler/Dorf),Einfriedung | eingetiefte Struktur,Einfriedung (rechteckig) | Gebäude (Pfostenbau) | Graben (Abgrenzung) | Palisade | Grube,4566891,5410933,12.909653331611002000,48.832274586420333000,D-2-7143-0015,Grabenwerk,Hallstattzeit,"312,10","1,84","129,10","1750,14","151,73","52,15","23,19",211,16,103,959,284,214,1634,503,660,"8,5","17,4","8,8"
D-5-7031-0309,Grab,HA,Treuchtlingen,POINT(10.87005 48.95755),Weißenburg-Gunzenhausen,Mittelfranken,"FIS-Daten des BLfD, Menghin 1981 S. 102, Fender 2017",Gräberfeld,Brandbestattung (mit Leichenbrandgefäß) | Brandbestattung (ohne Leichenbrandgefäß) | Körperbestattung (ohne Sarg),Grab (mehrere Individuen) | Grab (Nachbestattung) | Grab (waffenführend) | Grabform (quadratisch) | Grabkammer (Stein) | Steinsetzung | Grabtyp (Wagengrab),4422901,5426028,10.945560672949112000,48.966791722688910000,D-5-7031-0309,Siedlung,Hallstattzeit,"421,83","1,17","201,10","3940,50","66,68","40,46","33,34",211,7,98,816,260,192,1686,510,661,"8,7","17,4","8,7"
D-7-7627-0070,Siedlung,LTC,Pfaffenhofen a.d.Roth,POINT(10.16183 48.36107),Neu-Ulm,Schwaben,"FIS-Daten des BLfD, Ambs 2011, Fender 2017",befestigte Siedlung (Einzelgehöft),Einfriedung | eingetiefte Struktur | Werkstatt (Metallverarbeitung),Palisade | Speicherbau | Grubenhaus | Pfostenloch | Grube | Feuer-/Herdstelle,4365429,5358672,10.182857994278965000,48.351560438502773000,D-7-7627-0070,Siedlung,jüngere Latènezeit,"516,00","1,23","79,86","117,18","1135,05","49,46","1,27",211,27,101,837,289,203,1637,488,664,"8,6","17,2","8,5"
D-7-7627-0070,Siedlung,LTD1,Pfaffenhofen a.d.Roth,POINT(10.16183 48.36107),Neu-Ulm,Schwaben,"FIS-Daten des BLfD, Ambs 2011, Fender 2017",befestigte Siedlung,Befestigung | eingetiefte Struktur,Graben | Wall | Befestigung (Tor) | Befestigung (mit Wehrgang)  | Pfostenloch | Gebäude (Pfostenbau) | Gebäude (Schwellbalkenbau) | Speicherbau | Rechteckbau (Großbau) | Grubenhaus | Rechteckbau (Umgangsbau),4365429,5358672,10.182857994278965000,48.351560438502773000,D-7-7627-0070,Siedlung,jüngere Latènezeit,"516,00","1,23","79,86","117,18","1135,05","49,46","1,27",211,27,101,837,289,203,1637,488,664,"8,6","17,2","8,5"
"D-2-7446-0243,D-2-7446-0068",Siedlung,HAD-FLT,Passau\r\n,POINT(13.41508 48.5821),Passau,Niederbayern,"FIS-Daten des BLfD, Michalek 1993 S. 27, Fender 2017",befestigte Siedlung,Befestigung,Befestigung (unbestimmt) | Wall,4608081,5382900,13.463212318884885000,48.574477230389910000,D-2-7446-0243,Abschnittsbefestigung,Frühlatènezeit,"313,17","2,94","177,68","1845,49","214,04","34,50","2,79",111,31,96,912,293,212,1721,531,685,"9,1","18,3","9,6"
"D-2-7446-0068,D-2-7446-0179,D-2-7446-0243,D-2-7446-0177,D-2-7446-0183,D-2-7446-0157,D-2-7446-0245,D-2-7446-0153,D-2-7446-0181,D-2-7446-0028,D-2-7446-0161,D-2-7446-0162",Siedlung,LTC,Passau,POINT(13.41508 48.5821),Passau,Niederbayern,"FIS-Daten des BLfD, Michalek 1993 S. 60, Fender 2017",befestigte Siedlung (Oppidum) | Siedlungskonzentration (offene Großsiedlung),eingetiefte Struktur  | Werkstatt (Keramikproduktion),Pfostenloch | Grube,,,,,,,,,,,,,,,,,,,,,,,,,,
"D-2-7446-0068,D-2-7446-0179,D-2-7446,D-2-7446-0177,D-2-7446-0183,D-2-7446-0157,D-2-7446-0245,D-2-7446-0153,D-2-7446-0181,D-2-7446-0028,D-2-7446-0161,D-2-7446-0162,D-2-7446-0243",Siedlung,LTD1,Passau,POINT(13.41508 48.5821),Passau,Niederbayern,"FIS-Daten des BLfD, Michalek 1993 S. 60, Fender 2017",befestigte Siedlung (Oppidum) | Siedlungskonzentration (offene Großsiedlung),eingetiefte Struktur  | Werkstatt (Keramikproduktion),Pfostenloch | Grube,,,,,,,,,,,,,,,,,,,,,,,,,,
"D-3-6834-0025,D-3-6834-0026,D-3-6834-0031,D-3-6834-0138",Siedlung,LTB2,Berching,POINT(11.46686 49.11807),Neumarkt in der Oberpfalz,Oberpfalz,"FIS-Daten des BLfD, Schäfer 2010, Fender 2017",Siedlungskonzentration (offene Großsiedlung),Einfriedung | eingetiefte Struktur | Werkstatt (Buntmetallverarbeitung) | Werkstatt (Eisenweiterverarbeitung) | Werkstatt (Glasverarbeitung) | Werkstatt (Holzverarbeitung) | Werkstatt (Knochenverarbeitung) | Werkstatt (Lederverarbeitung) | Werkstatt (Keramikproduktion) Werkstatt (Textilproduktion),Brandhorizont | Einfriedung (rechteckig) | Feuer-/Herdstelle | Gebäude (Pfostenbau) | Graben | Graben (Abgrenzung) | Graben (Grabensystem) | Grube | Grube (Abfall) | Grube (Materialentnahme) | Grubenhaus | Metallverarbeitungs-Ofen (Schmiedeesse) | Metallverarbeitungs-Ofen (gemischte Nutzung) | Pfostenloch | Rechteckbau | Speicherbau,4460148,5444969,11.452359915733918000,49.140625295235495000,D-3-6834-0025,Siedlung,Spätlatènezeit,"400,92","2,50","283,38","4870,35","180,22","43,54","28,14",112,24,100,764,238,177,1638,503,663,"8,6","17,4","8,7"
"D-3-6834-0025,D-3-6834-0026,D-3-6834-0031,D-3-6834-0138",Siedlung,LTC1,Berching,POINT(11.46686 49.11807),Neumarkt in der Oberpfalz,Oberpfalz,"FIS-Daten des BLfD, Schäfer 2010, Fender 2017",Siedlungskonzentration (offene Großsiedlung),Einfriedung | eingetiefte Struktur | Werkstatt (Buntmetallverarbeitung) | Werkstatt (Eisenweiterverarbeitung) | Werkstatt (Glasverarbeitung) | Werkstatt (Holzverarbeitung) | Werkstatt (Knochenverarbeitung) | Werkstatt (Lederverarbeitung) | Werkstatt (Keramikproduktion) Werkstatt (Textilproduktion),Brandhorizont | Einfriedung (rechteckig) | Feuer-/Herdstelle | Gebäude (Pfostenbau) | Graben | Graben (Abgrenzung) | Graben (Grabensystem) | Grube | Grube (Abfall) | Grube (Materialentnahme) | Grubenhaus | Metallverarbeitungs-Ofen (Schmiedeesse) | Metallverarbeitungs-Ofen (gemischte Nutzung) | Pfostenloch | Rechteckbau | Speicherbau,4460148,5444969,11.452359915733918000,49.140625295235495000,D-3-6834-0025,Siedlung,Spätlatènezeit,"400,92","2,50","283,38","4870,35","180,22","43,54","28,14",112,24,100,764,238,177,1638,503,663,"8,6","17,4","8,7"
